WHITE_USERNAME,WHITE_ELO,WHITE_RESULT,WHITE_ACCURACY,BLACK_USERNAME,BLACK_ELO,BLACK_RESULT,BLACK_ACCURACY,TIME_CONTROL,TIME_CLASS,DATE_TIME,RATED,OPENING
MagnusCarlsen,3365,win,93.25,jefferyx,3152,resigned,88.31,180+1,blitz,2025-08-26T16:27:14,True,Clemenz Opening 1...e5
mishanick,3135,repetition,96.64,MagnusCarlsen,3360,repetition,97.2,180+1,blitz,2025-08-26T16:42:29,True,French Defense Tarrasch Modern System 4.Bd3 c5
Parhamov,3176,win,90.03,MagnusCarlsen,3348,timeout,90.19,180+1,blitz,2025-08-26T16:56:02,True,Kings Indian Defense Makogonov Variation 5...Nbd7
MagnusCarlsen,3350,win,95.47,chito89,3023,resigned,84.49,180+1,blitz,2025-08-26T17:02:23,True,English Opening Agincourt Defense...8.O-O Ngf6 9.a4 c5 10.d3
MagnusCarlsen,3350,win,93.94,movingmeats,2589,timeout,90.65,180+1,blitz,2025-08-26T20:06:07,True,Indian Game
amiralfio,2769,win,84.26,MagnusCarlsen,3335,resigned,80.74,180+1,blitz,2025-08-26T20:18:15,True,Queens Gambit Declined Albin Countergambit 3.dxe5
MagnusCarlsen,3335,win,96.14,aachess2006,2565,resigned,87.0,180+1,blitz,2025-08-26T20:26:09,True,Closed Sicilian Defense Grand Prix Attack 3...d6 4.Nf3
SinisterKnight8,2639,timeout,81.66,MagnusCarlsen,3335,win,84.64,180+1,blitz,2025-08-26T20:38:17,True,London System 3...Bf5 4.e3 e6 5.c4
Robert_Angier,3000,timeout,80.08,MagnusCarlsen,3337,win,84.95,180+1,blitz,2025-08-26T20:55:04,True,Sicilian Defense Open Najdorf Adams Attack...7.Nde2 h5 8.Bg5 Be7
MagnusCarlsen,3339,win,92.5,Angry_Twin,2941,timeout,87.31,180+1,blitz,2025-08-26T21:06:23,True,English Opening Four Knights Kingside Fianchetto Line...8.a3 O-O 9.b4 Re8
HansOnTwitch,3151,resigned,80.81,MagnusCarlsen,3343,win,84.63,180+1,blitz,2025-08-26T21:16:24,True,Sicilian Defense Nyezhmetdinov Rossolimo Fianchetto Variation 4.Bxc6 dxc6 5.d3
MagnusCarlsen,3348,win,89.3,GHANDEEVAM2003,3197,resigned,83.63,180+1,blitz,2025-08-26T21:27:24,True,Indian Game 2.c3
FairChess_on_YouTube,3173,timeout,86.7,MagnusCarlsen,3352,win,87.73,180+1,blitz,2025-08-26T21:43:23,True,Semi Slav Defense Main Line Stoltz Variation 6...b6 7.b3 Bb7
MagnusCarlsen,3339,resigned,87.77,mishanick,3142,win,90.9,180+1,blitz,2025-08-26T21:54:54,True,Queens Gambit Declined Catalan Opening...6.O-O dxc4 7.Qc2 a6
MITerryble,3101,checkmated,85.84,MagnusCarlsen,3342,win,93.42,180+1,blitz,2025-08-26T22:04:39,True,Queens Pawn Opening Levitsky Attack 2...f6
Blitz_Expert23,3039,resigned,78.23,MagnusCarlsen,3344,win,84.9,180,blitz,2025-08-29T14:25:12,True,English Opening Reversed Sicilian Three Knights System 3...f5 4.d4
MagnusCarlsen,3346,win,84.67,Blitz_Expert23,3037,resigned,72.09,180,blitz,2025-08-29T14:29:12,True,Kings Indian Defense Normal Variation 4.e4 d6
MagnusCarlsen,3334,resigned,87.62,Parhamov,3163,win,92.63,180,blitz,2025-08-29T14:35:12,True,Sicilian Defense 2.Nf3 d6 3.Bc4 Nf6 4.d3
Parhamov,3159,timeout,81.03,MagnusCarlsen,3338,win,80.78,180,blitz,2025-08-29T14:41:29,True,Queens Gambit Accepted Central Variation Alekhine System...7.Be3 Nb4 8.Be4 f5
MagnusCarlsen,3342,win,89.69,Parhamov,3155,timeout,91.63,180,blitz,2025-08-29T14:48:00,True,Sicilian Defense Canal Attack...6.Ba4 b5 7.Bc2 Bb7 8.d4
Parhamov,3151,resigned,87.73,MagnusCarlsen,3346,win,93.94,180,blitz,2025-08-29T14:53:40,True,Queens Gambit Declined Catalan Opening 4...Bb4 5.Bd2 a5
GeorgMeier,3055,resigned,83.73,MagnusCarlsen,3349,win,91.19,180,blitz,2025-08-31T10:39:37,True,Sicilian Defense Hyperaccelerated Dragon Variation...4.e5 Nd5 5.d4 cxd4
MagnusCarlsen,3352,win,89.77,GeorgMeier,3052,resigned,83.85,180,blitz,2025-08-31T10:44:44,True,Queens Pawn Opening English Defense 3.e4 Bb4
GeorgMeier,3050,timeout,95.34,MagnusCarlsen,3354,win,97.59,180,blitz,2025-08-31T10:50:44,True,Indian Game Knights Variation...6.c3 Na6 7.Bg5 Be7
MagnusCarlsen,3356,win,96.02,GeorgMeier,3048,resigned,92.59,180,blitz,2025-08-31T10:55:14,True,English Opening...3.g3 Bxf3 4.exf3 c5 5.d4
MagnusCarlsen,3345,resigned,87.33,gurelediz,3235,win,91.49,180,blitz,2025-08-31T11:01:29,True,Queens Gambit Declined Catalan Opening...6.O-O dxc4 7.Qc2 a6
gurelediz,3229,resigned,88.73,MagnusCarlsen,3351,win,93.62,180,blitz,2025-08-31T11:07:01,True,Reti Opening Sicilian Invitation...3.e3 Nf6 4.Bb2 g6
MagnusCarlsen,3356,win,86.77,gurelediz,3224,resigned,82.45,180,blitz,2025-08-31T11:13:01,True,Caro Kann Defense Advance Tal Variation...7.Nge2 Nd7 8.Ng3 Bg6
gurelediz,3219,resigned,93.62,MagnusCarlsen,3361,win,95.81,180,blitz,2025-08-31T11:19:00,True,Semi Slav Defense Anti Meran Gambit...6.Bxf6 Qxf6 7.e3 g6
MagnusCarlsen,3235,repetition,91.68,francyIM,2975,repetition,91.11,180,blitz,2025-06-09T16:05:22,True,Kings Indian Defense Averbakh Benoni Advance Variation 7...a6 8.a4
francyIM,2972,resigned,83.56,MagnusCarlsen,3238,win,94.5,180,blitz,2025-06-09T16:08:16,True,English Opening Great Snake Variation...11.axb4 h6 12.b5 Ne7
MagnusCarlsen,3241,win,90.42,francyIM,2969,resigned,84.52,180,blitz,2025-06-09T16:14:22,True,Kings Indian Defense Averbakh Variation 6...Nc6
